book,price,amount,oid,side,amount_minor,amount_major
usd_mxn,19.361,100.0,ilMFkVy9DGPuAJ3c,bid,1936.1000000000001,100.0
usd_mxn,19.36,5077.3019,2eoxFAkXaDWEn5OG,bid,98296.564784,5077.3019
usd_mxn,19.359,100.0,JrNtoqEUky4BhCmq,bid,1935.9,100.0
usd_mxn,19.358,13367.658,OMyVDKcZ0QkHKwBi,bid,258771.123564,13367.658
usd_mxn,19.357,5000.0,IS5G6vQ3Luf6cD2v,bid,96785.0,5000.0
usd_mxn,19.356,3205.3085,i29gvQe5ZGNoMzMX,bid,62041.95132600001,3205.3085
usd_mxn,19.354,516.36,wCmC8z43SXW6KniC,bid,9993.63144,516.36
usd_mxn,19.352,20000.0,XdQcbzBwtkRsqcRd,bid,387040.0,20000.0
usd_mxn,19.351,46495.32,UaCDW6MljRkl1BZU,bid,899730.9373199999,46495.32
usd_mxn,19.349,100.0,hsDkBJxppv2RAGu4,bid,1934.9,100.0
usd_mxn,19.34,103.41,6wFnvsLSHTHO9qAU,bid,1999.9494,103.41
usd_mxn,19.333,1019.0,F2JpdN931iFotBqw,bid,19700.326999999997,1019.0
usd_mxn,19.332,9439.37,htMZztNNMYAxJ3PB,bid,182481.90084000002,9439.37
usd_mxn,19.331,10100.0,oSaae2lqfNHTM9bL,bid,195243.1,10100.0
usd_mxn,19.321,103.52,CDQs3skVnQl5JmGA,bid,2000.10992,103.52
usd_mxn,19.32,12939.96,4UDOSNoJ1QHxqvwG,bid,250000.02719999998,12939.96
usd_mxn,19.319,20100.0,CexxsNamYax8a9zr,bid,388311.89999999997,20100.0
usd_mxn,19.306,40000.0,notQuiJUQlU3Arq3,bid,772240.0,40000.0
usd_mxn,19.28,1.5,dLU5HaOaV9lPXOLh,bid,28.92,1.5
usd_mxn,19.28,5.18,i5f0hRsKzMR1or6Q,bid,99.8704,5.18
usd_mxn,19.28,5.18,FmpFcpBtLl77dHI9,bid,99.8704,5.18
usd_mxn,19.276,1037.55,sJ9xfigULC8RzAge,bid,19999.8138,1037.55
usd_mxn,19.274,20100.0,0SVSXZQfibpA8tU2,bid,387407.4,20100.0
usd_mxn,19.259,5950.0,VG3CW8Cbz0Me3sQ0,bid,114591.05,5950.0
usd_mxn,19.258,5.2,I0AK2ZqrPQAbxzsS,bid,100.1416,5.2
usd_mxn,19.249,51.94,DRK32ja6qk4GdxuU,bid,999.7930599999999,51.94
usd_mxn,19.243,62.36,j0pAX1qAgCgcfND2,bid,1199.9934799999999,62.36
usd_mxn,19.241,1.32,NxhUUnKstcQBTHwD,bid,25.398120000000002,1.32
usd_mxn,19.241,5.19,Pe03No53fQml6TBZ,bid,99.86079000000001,5.19
usd_mxn,19.241,0.72,2nSkgfBJSr6ynbKK,bid,13.85352,0.72
usd_mxn,19.24,415.41,46QjYU1ObPKt4x4l,bid,7992.4884,415.41
usd_mxn,19.234,0.56,KKep7exGZhs8TPzY,bid,10.771040000000003,0.56
usd_mxn,19.23,1.0,0QwXgBv0sEVJSKko,bid,19.23,1.0
usd_mxn,19.228,2.86,xDIbGRUFlswZvbZ7,bid,54.99208,2.86
usd_mxn,19.224,96.41,V6Y1RxVA6dJyDQ7n,bid,1853.38584,96.41
usd_mxn,19.224,0.57,LLlDcXVdBeB2q3oN,bid,10.95768,0.57
usd_mxn,19.223,0.8,Y6r45JAwXu7xyUqH,bid,15.3784,0.8
usd_mxn,19.22,104.06,HBaeNs8ttbMb27qr,bid,2000.0331999999999,104.06
usd_mxn,19.22,65.43,zy75GGMQdJeYJy3H,bid,1257.5646000000002,65.43
usd_mxn,19.215,52.05,kWkIraEp4D5gXACt,bid,1000.1407499999999,52.05
usd_mxn,19.21,4.7,cegWNY1IO2KKHdO2,bid,90.287,4.7
usd_mxn,19.21,15.62,VfAL2DyM2MYg7u7o,bid,300.0602,15.62
usd_mxn,19.21,52.05,GLO1Vqb7RCyPqu8R,bid,999.8805,52.05
usd_mxn,19.21,0.86,5EY0iWemfXNbLj8m,bid,16.5206,0.86
usd_mxn,19.201,31.24,GdSim0sjjoiugrpZ,bid,599.83924,31.24
usd_mxn,19.201,25.12,0r2UueKCvJvkhzfh,bid,482.32912000000005,25.12
usd_mxn,19.2,5.2,gXO6jGBzsTETq3bG,bid,99.84,5.2
usd_mxn,19.2,40.0,FuABF9XUmBq8bq2T,bid,768.0,40.0
usd_mxn,19.2,41.66,7eSOgnSWKujVXL0d,bid,799.872,41.66
usd_mxn,19.2,15.72,A12uGpLO1kfm9doY,bid,301.824,15.72
usd_mxn,19.2,3.64,g8Clcq43J2KlOQbu,bid,69.888,3.64
usd_mxn,19.2,520.83,IjRHr3vVKlS8JXB8,bid,9999.936,520.83
usd_mxn,19.2,17.94,n4ZNTxKpw2SUcefy,bid,344.44800000000004,17.94
usd_mxn,19.2,200.0,5vmhuxVwCBnToM3D,bid,3840.0,200.0
usd_mxn,19.2,41.88,YBiTFMynZjwRLemO,bid,804.096,41.88
usd_mxn,19.2,51.74,5NidcNPz4cc7NONL,bid,993.408,51.74
usd_mxn,19.2,3.0,kCfDigT13krGAmHp,bid,57.599999999999994,3.0
usd_mxn,19.2,52.47,dfl3oM6JC0MiIqsv,bid,1007.424,52.47
usd_mxn,19.197,15.62,D8RjV6Hvpj7x4wIL,bid,299.85713999999996,15.62
usd_mxn,19.196,3.13,JCiuiCQ4lm35CE4s,bid,60.08348,3.13
usd_mxn,19.195,114.62,EHSby0JM2tz3SHMw,bid,2200.1309,114.62
usd_mxn,19.19,78.57,ETEkdDtH8U11f5S2,bid,1507.7583,78.57
usd_mxn,19.19,0.91,7BMefzhnbImmZQX4,bid,17.4629,0.91
usd_mxn,19.19,0.53,9Sj0j4dVjcdmKpgF,bid,10.170700000000002,0.53
usd_mxn,19.189,518.8,b5lkdU2RaBTdI9nx,bid,9955.2532,518.8
usd_mxn,19.182,2.0,KdhFP9KV5SaLdkdA,bid,38.364,2.0
usd_mxn,19.18,1.5,4c7ezgtPzTIk3mFA,bid,28.77,1.5
usd_mxn,19.18,1.6,c2AuEqAbGQyc4bX6,bid,30.688000000000002,1.6
usd_mxn,19.18,26.59,F0lJDEkT9UAXc8xT,bid,509.9962,26.59
usd_mxn,19.18,766.76,2L8xSARmT8DMHgPL,bid,14706.4568,766.76
usd_mxn,19.18,100.0,2oFunYvpjzENe3Uh,bid,1918.0,100.0
usd_mxn,19.177,52.15,RHW1eqtvkj0rTeTQ,bid,1000.0805499999999,52.15
usd_mxn,19.175,7.82,KxWuF7CvEbgs3WIR,bid,149.94850000000002,7.82
usd_mxn,19.171,1199.72,aFM0o08z7e5M9bha,bid,22999.83212,1199.72
usd_mxn,19.17,203.04,CoPRQZX97UYqk9hD,bid,3892.2768,203.04
usd_mxn,19.17,52.16,eT62x9RxAxx1JwMe,bid,999.9072,52.16
usd_mxn,19.17,52.16,0jyCRurtMLusJ8AJ,bid,999.9072,52.16
usd_mxn,19.17,365.15,lpV6s3vmmyMMn2st,bid,6999.9255,365.15
usd_mxn,19.168,2.66,NFWfJy8zogM14fSO,bid,50.98688,2.66
usd_mxn,19.168,108.98,VabpM5BaVJHEbjmS,bid,2088.92864,108.98
usd_mxn,19.164,10.43,YxN7XNk4LHQvrXdi,bid,199.88052000000002,10.43
usd_mxn,19.163,104.36,CHKG5lgfuV6o2Zo6,bid,1999.85068,104.36
usd_mxn,19.162,8075.0,uOsjDfsist7Z72FY,bid,154733.15,8075.0
usd_mxn,19.16,100.0,b9UxUUH8qy78saTl,bid,1916.0,100.0
usd_mxn,19.16,5.21,g1N8uiMk1nrhOcz7,bid,99.8236,5.21
usd_mxn,19.16,54.8,ngSNZMZlkw0th6zw,bid,1049.9679999999998,54.8
usd_mxn,19.16,1.2,js26sXgTavLdb7Ph,bid,22.992,1.2
usd_mxn,19.157,33.93,EbddEaLWf6PcHGON,bid,649.99701,33.93
usd_mxn,19.156,3.02,DnGgFPbfotU2G2iP,bid,57.851119999999995,3.02
usd_mxn,19.151,25.12,ryBTza4ftAGlvtTz,bid,481.07312,25.12
usd_mxn,19.15,50.0,GZLSU0EzguUYk77g,bid,957.4999999999999,50.0
usd_mxn,19.15,26.1,TbiLawQXM4sMgAH4,bid,499.815,26.1
usd_mxn,19.15,261.14,I9PhVO12k5Rpf0nP,bid,5000.830999999999,261.14
usd_mxn,19.15,5.22,YVGg1N4Ch4ImMHNd,bid,99.963,5.22
usd_mxn,19.15,200.0,ODzhFpbxdZUkMD5U,bid,3829.9999999999995,200.0
usd_mxn,19.15,19.81,30maAqmDWkzXR1BR,bid,379.3614999999999,19.81
usd_mxn,19.15,1.5,4UKxaIDOdlHspdvh,bid,28.724999999999998,1.5
usd_mxn,19.15,26.11,LrntUg3w6JsjTEMC,bid,500.00649999999996,26.11
usd_mxn,19.15,130.42,4aWVYrQbPstgZPRc,bid,2497.5429999999997,130.42
usd_mxn,19.15,5.22,6mE03CG0WScYnZij,bid,99.963,5.22
usd_mxn,19.15,261.09,xQjeIy6kapxp1QAc,bid,4999.873499999999,261.09
usd_mxn,19.15,2.61,GfUX7Nu9tWPiowDx,bid,49.9815,2.61
usd_mxn,19.15,50.0,Qc7gq6tyUircp4Vc,bid,957.4999999999999,50.0
usd_mxn,19.144,5.27,XsNNoGeTbs7VmTd3,bid,100.88887999999999,5.27
usd_mxn,19.142,1.04,zdGsyKmTNaJuE3up,bid,19.90768,1.04
usd_mxn,19.141,26.13,IFnavruPQNUfncmP,bid,500.15432999999996,26.13
usd_mxn,19.14,63.49,p7ZIzkRO0OTj6MyX,bid,1215.1986000000002,63.49
usd_mxn,19.139,10.83,0oT3pB3FnwA3CuFn,bid,207.27536999999998,10.83
usd_mxn,19.137,26.13,Wj2EClBFWS5ARc6l,bid,500.04981,26.13
usd_mxn,19.136,3.28,4sK9LjXP8GqYHgO5,bid,62.766079999999995,3.28
usd_mxn,19.133,0.53,sRPOlMqt6wzqL1k7,bid,10.14049,0.53
usd_mxn,19.132,38.85,UREN6XC2wpcZFIg1,bid,743.2782000000001,38.85
usd_mxn,19.13,156.82,eUr4v3GYMDwmNyav,bid,2999.9665999999997,156.82
usd_mxn,19.13,1.04,vOdzMKBErDhdfiDM,bid,19.8952,1.04
usd_mxn,19.13,26.67349227,Ij44H7W9rc6kbzcI,bid,510.2639071251,26.67349227
usd_mxn,19.123,0.53,iK4fCEGJfSctRpjr,bid,10.135190000000001,0.53
usd_mxn,19.12,209.2,LrVWjd3EKZv0eagu,bid,3999.904,209.2
usd_mxn,19.12,100.0,QO6AxyMxqSLeBlbf,bid,1912.0,100.0
usd_mxn,19.116,79.27,h86rgkS6aM9ImXKJ,bid,1515.32532,79.27
usd_mxn,19.113,0.53,ZjK00P9FBOCLMluA,bid,10.12989,0.53
usd_mxn,19.111,364.65,KDuIvVKbgfVibEsl,bid,6968.82615,364.65
usd_mxn,19.11,0.62,5avHkp5TXYuWWhw9,bid,11.8482,0.62
usd_mxn,19.11,300.0,3w5xSeOlwFe5YG7i,bid,5733.0,300.0
usd_mxn,19.11,115.0,bbl6HqLxRucM4tty,bid,2197.65,115.0
usd_mxn,19.11,10.46,6Fa63J6mu4lPypYs,bid,199.8906,10.46
usd_mxn,19.11,29.37,IAqjdbRv51V5UtUJ,bid,561.2607,29.37
usd_mxn,19.11,200.0,4yB0brOQIxTB2mHM,bid,3822.0,200.0
usd_mxn,19.11,3.5,Mizdk76YeEOjdxEA,bid,66.88499999999999,3.5
usd_mxn,19.11,25000.0,OZ7NN8eD6TyP1rkz,bid,477750.0,25000.0
usd_mxn,19.103,0.53,eHqrRs8FW1wIPeTZ,bid,10.124590000000001,0.53
usd_mxn,19.101,25.12,sYkPfpCOL1iicINU,bid,479.81712,25.12
usd_mxn,19.1,3.14,LzkDHZAQQdnl4zuO,bid,59.974000000000004,3.14
usd_mxn,19.1,58.68,vKjtQwTnPd3MhW8k,bid,1120.788,58.68
usd_mxn,19.1,52.35,dv6OIwfZZLs7VJVh,bid,999.8850000000001,52.35
usd_mxn,19.1,1.3,Bcf8M59ePXdvFDEx,bid,24.830000000000002,1.3
usd_mxn,19.1,10.0,H9rEDreUKVNRCXZg,bid,191.0,10.0
usd_mxn,19.1,1047.12,Ci7SsKDWJ10K4lnp,bid,19999.992,1047.12
usd_mxn,19.1,0.6,Rn4aPQonVfCTfwM1,bid,11.46,0.6
usd_mxn,19.1,5.23,O2tju6eKeNEb5O5r,bid,99.89300000000001,5.23
usd_mxn,19.1,1.56,eEHUhLQMFPnBALPy,bid,29.796000000000003,1.56
usd_mxn,19.1,1.04,WxccrOyf7CWzrJT7,bid,19.864,1.04
usd_mxn,19.1,13.78,R2ywzYa0phVL3lZZ,bid,263.198,13.78
usd_mxn,19.1,7500.0,X8AWWWd7zKSvzDHW,bid,143250.0,7500.0
usd_mxn,19.1,60.0,6uY57KZAJrH8zMQe,bid,1146.0,60.0
usd_mxn,19.1,15.7,HxPNFfDmjBSO0ZD5,bid,299.87,15.7
usd_mxn,19.1,11.0,BzPq0VhVWdCTXtn8,bid,210.10000000000002,11.0
usd_mxn,19.1,5.23,NM4sSQhGa6smmvIt,bid,99.89300000000001,5.23
usd_mxn,19.1,26.17,C5xiZFdBiWqFormp,bid,499.8470000000001,26.17
usd_mxn,19.1,700.0,jke3BaiLGKXFLm4V,bid,13370.000000000002,700.0
usd_mxn,19.1,10.47,YYRhNV0kkTxSyhv3,bid,199.97700000000003,10.47
usd_mxn,19.1,24.67,4Ti00BUXnVS9Wyeo,bid,471.19700000000006,24.67
usd_mxn,19.1,0.53,roY6zQKHI3gpEJwg,bid,10.123000000000001,0.53
usd_mxn,19.1,104.71,V85cQ2IRDvRsRLdQ,bid,1999.961,104.71
usd_mxn,19.1,26.17,vEpyEIANaA7WeBPu,bid,499.8470000000001,26.17
usd_mxn,19.1,1.0,8FIAY1BCunqXDngH,bid,19.1,1.0
usd_mxn,19.1,25.93,9rGOvIBlh2afNWTJ,bid,495.26300000000003,25.93
usd_mxn,19.095,13.0,Wv3oqKR6ax6C1Y0t,bid,248.23499999999999,13.0
usd_mxn,19.095,26.7223832,nmgnudEq1dOvJwnk,bid,510.26390720399996,26.7223832
usd_mxn,19.092,157.13,WInsU5QKaBrfKK1l,bid,2999.9259599999996,157.13
usd_mxn,19.092,6.77,fvF70lDEZIiwes7V,bid,129.25284,6.77
usd_mxn,19.092,1.04,I0nN7wg1EMteVDty,bid,19.85568,1.04
usd_mxn,19.09,104.78,EiyoZJ0NZPk3Vg8n,bid,2000.2502,104.78
usd_mxn,19.09,26.2,8w70UewsVGTrpTmg,bid,500.15799999999996,26.2
usd_mxn,19.08,36.68,Sbn7aKeYSCW6oYl3,bid,699.8543999999999,36.68
usd_mxn,19.075,0.62,hKtyfRSJNN2FMuMp,bid,11.8265,0.62
usd_mxn,19.072,1.04,fRSA5dx7cVokGG1R,bid,19.83488,1.04
usd_mxn,19.07,262.19,UcjLMbxCXkDjogkn,bid,4999.9633,262.19
usd_mxn,19.07,104.87,HCDMzTnshFQJGeM1,bid,1999.8709000000001,104.87
usd_mxn,19.069,534.69,Y4NA8g9A5e0snjKQ,bid,10196.00361,534.69
usd_mxn,19.061,26.77004916,SOdWNxGfCVrfUU5Q,bid,510.26390703876,26.77004916
usd_mxn,19.06,43.0,w6F6zlvDOhY34xN1,bid,819.5799999999999,43.0
usd_mxn,19.06,0.57,usxbA0IvR6t0PYYp,bid,10.864199999999999,0.57
usd_mxn,19.06,0.57,DPXdGc5mSwEk0Ipc,bid,10.864199999999999,0.57
usd_mxn,19.06,0.57,bt92B6EbyT559VGV,bid,10.864199999999999,0.57
usd_mxn,19.05,300.13,drWJBkTG4xat2sLd,bid,5717.4765,300.13
usd_mxn,19.05,180.0,lqd1EaoYuwJwwwAN,bid,3429.0,180.0
usd_mxn,19.05,2624.67,S8GMIsg8BWuJe2cx,bid,49999.963500000005,2624.67
usd_mxn,19.05,1.53,p078VZLzVjC2JbOh,bid,29.146500000000003,1.53
usd_mxn,19.047,52.5,vTKgzPhNeXaPTRsN,bid,999.9675000000001,52.5
usd_mxn,19.047,65.62,p9dXTMx8vXW8tEtv,bid,1249.8641400000001,65.62
usd_mxn,19.043,52512.73,p78h6UykGCPRzO6V,bid,999999.9173900001,52512.73
usd_mxn,19.039,52523.76,fyfaxXf8VImFqq0I,bid,999999.8666400001,52523.76
usd_mxn,19.032,4.38,91wQt6UJ2At9iCgz,bid,83.36016,4.38
usd_mxn,19.03,20.0,akwb1o2uHNyXbPrh,bid,380.6,20.0
usd_mxn,19.03,1.05,MeEEnNanrEVPv2Xt,bid,19.9815,1.05
usd_mxn,19.026,26.81929503,rFOF6vRJdi8X8JPr,bid,510.26390724078,26.81929503
usd_mxn,19.022,680.0,ktaZ1dy360fIDcIT,bid,12934.96,680.0
usd_mxn,19.01,111.0,jLUWUHefg6dF0XwR,bid,2110.11,111.0
usd_mxn,19.01,300.0,nSNf9CKtPStXRWZG,bid,5703.000000000001,300.0
usd_mxn,19.01,10.52,skm5I4FNt4fz8hTU,bid,199.98520000000002,10.52
usd_mxn,19.01,16.21,0PfE1t0fsim5UqS7,bid,308.1521,16.21
usd_mxn,19.01,210.52,lVnn8Yv5xSfL0z19,bid,4001.9852000000005,210.52
usd_mxn,19.01,412.74,ipXxDwyic7oDfIgW,bid,7846.187400000001,412.74
usd_mxn,19.01,500.0,wSQOyazzhSMADFW4,bid,9505.0,500.0
usd_mxn,19.01,531.29,wC2lZ9blvEyjddiK,bid,10099.822900000001,531.29
usd_mxn,19.001,105.26,aYxN4CZcrGx9jayz,bid,2000.0452600000003,105.26
usd_mxn,19.0,123.57,chOlVj4cfHPnZqX9,bid,2347.83,123.57
usd_mxn,19.0,4.0,Vf9urm6jNPxbmm0W,bid,76.0,4.0
usd_mxn,19.0,3.41,xcWayRHr5THoNIWC,bid,64.79,3.41
usd_mxn,19.0,184.21,u75X8FqcIvX6yWbN,bid,3499.9900000000002,184.21
usd_mxn,19.0,2.0,ikc4cM4YfIRSkbKt,bid,38.0,2.0
usd_mxn,19.0,123.77,ZSe3FYQSh7pWJVJY,bid,2351.63,123.77
usd_mxn,19.0,1.32,4wtkiFTx6VuMGakc,bid,25.080000000000002,1.32
usd_mxn,19.0,16.35,OU6L6U1JlCpFTOun,bid,310.65000000000003,16.35
usd_mxn,19.0,200.0,xSezgiXv3ceAtamy,bid,3800.0,200.0
usd_mxn,19.0,12.71,pen4kseFQOMYdaq4,bid,241.49,12.71
usd_mxn,19.0,7.3,PrwqIrDawEgBcR15,bid,138.7,7.3
usd_mxn,19.0,104.78,JLIXg5WVj56E4t1E,bid,1990.82,104.78
usd_mxn,19.0,26.31,FcgtmDa6U1RxSwbU,bid,499.89,26.31
usd_mxn,19.0,5.0,CDHRzzIjs6gur11S,bid,95.0,5.0
